stop_id,stop_name,stop_desc,stop_lat,stop_lon
403,Podu de Piatra,,47.15675481280536,27.57447123527527
173,Dacia,,47.16882472,27.5408178
172,Columnei,,47.16664993,27.54444591
175,Bicaz,,47.16673,27.55097
170,Zimbru,,47.16667032,27.55548744
177,Minerva,,47.16328957,27.56429739
130,Podu de Piatra,,47.15661781,27.57603068
136,Pod Cantemir,,47.153748,27.582645
23,Podu Ros (1) - sens Tesatura,,47.15093309,27.58930349
210,Tesatura,,47.14908286,27.59473622
268,C.E.T.,,47.14805707133602,27.60147571563721
307,Baza 3,,47.14690568,27.60977175
190,C.F.S.,,47.14614528898293,27.615337371826175
191,Piata Ing. Virgil Sahleanu,,47.14560146,27.61883766
234,Fabrica de Ulei,,47.14406312,27.62969582
233,Tehnoton,,47.14327515,27.63578121
370,Tutora,,47.14335173,27.64319479
371,Tutora,,47.14335431,27.64333159
238,Tehnoton,,47.1434331,27.63622607
237,Fabrica de Ulei,,47.14417759,27.63027325
18,P-ta Ing. V. Sahleanu - sens Baza 3,,47.14556411,27.62033247
19,C.F.S. - sens Baza 3,,47.14594047,27.61751858
308,Baza 3,,47.14701416,27.61053077
319,C.E.T.,,47.14820919,27.60152191
61,Tesatura,,47.14915672,27.59531376
186,Podu Ros (1),,47.15095267,27.58935784
135,Bis. Lipoveneasca - sens Gara,,47.15262542,27.58689803
131,Pod Cantemir - sens Gara,,47.154003,27.58375
429,Podu de Piatra - sens Gara,,47.157329,27.576565
169,Minerva,,47.16329843,27.56461304
176,Zimbru,,47.166828288229745,27.55582988262177
171,Bicaz,,47.16679275,27.55001146
213,Columnei,,47.16680333,27.54414859
9,Targu Cucu,,47.16472,27.59092
66,Targu Cucu,,47.16582168313267,27.58949160575867
67,Piata Independentei,,47.16847122,27.57957775
80,Tatarasi Sud,,47.15638,27.62367
337,Flora,,47.1589018,27.62050867
335,Dr. Savini,,47.15995552,27.61459976
377,Tatarasi Nord,,47.16144619,27.60887459
303,Ateneu,,47.1624656,27.60595406
363,Str. Conductelor,,47.16453204,27.59615153
360,Podu de Fier,,47.16616838,27.59501025
68,Blocuri Pacurari,,47.17095006421935,27.571205377644223
40,Petru Poni,,47.1736683212151,27.559085011744173
70,Moara 1 Mai,,47.17452737,27.55045548
302,Cimitirul Evreiesc,,47.17485345787008,27.544141888683956
72,OMV Pacurari,,47.17352493,27.53737539
73,Pacurari,,47.17303891148213,27.53337872054545
160,Popas Pacurari,,47.17248777,27.52007878
161,Carrefour ERA,,47.16744087,27.51373105
366,Praktiker ERA,,47.17005595,27.51286089
357,Str. 1 Decembrie,,47.17386523,27.50669785
361,Troita,,47.17525092862316,27.49884474218561
355,Antibiotice,,47.17734056,27.48900063
359,Dedeman,,47.1807145734009,27.473966717589068
375,METRO,,47.18126696,27.46890753
376,METRO,,47.18118492,27.46899337
