trip_id,arrival_time,departure_time,stop_id,stop_sequence
18RSD,2:09:42,2:09:42,405,12
18RSD,2:11:20,2:11:20,403,13
18RSD,2:13:25,2:13:25,398,14
18RSD,2:14:25,2:14:25,397,15
18RSD,2:15:22,2:15:22,395,17
18RSD,2:16:12,2:16:12,393,18
18RSD,2:16:50,2:16:50,174,19
18RSD,2:17:02,2:17:02,378,20
1TLV,2:00:00,2:00:00,1,1
1TSD,2:01:08,2:01:08,2,2
1TSD,2:01:49,2:01:49,3,3
1TSD,2:02:59,2:02:59,4,4
1TSD,2:04:29,2:04:29,5,5
1TSD,2:06:00,2:06:00,6,6
1TSD,2:07:12,2:07:12,29,7
1TSD,2:09:02,2:09:02,8,8
1TSD,2:10:31,2:10:31,27,9
1TSD,2:11:39,2:11:39,11,10
1TSD,2:13:53,2:13:53,12,11
1TSD,2:15:27,2:15:27,13,12
1TSD,2:16:24,2:16:24,14,13
1TSD,2:17:30,2:17:30,15,14
1TSD,2:18:51,2:18:51,16,15
1TSD,2:19:43,2:19:43,17,16
1TSD,2:20:30,2:20:30,312,17
1TSD,2:21:47,2:21:47,20,18
1TSD,2:23:15,2:23:15,204,19
1TSD,2:24:56,2:24:56,422,20
1TSD,2:25:57,2:25:57,64,21
1TSD,2:29:14,2:29:14,331,22
1TSD,2:30:21,2:30:21,28,23
1TSD,2:32:29,2:32:29,7,24
1TSD,2:34:03,2:34:03,30,25
1TSD,2:36:08,2:36:08,31,26
1TSD,2:37:36,2:37:36,32,27
1TSD,2:38:30,2:38:30,33,28
1TSD,2:39:15,2:39:15,34,29
1TSD,2:40:33,2:40:33,35,30
21TLV,2:00:00,2:00:00,173,1
21TSD,2:01:27,2:01:27,172,2
21TSD,2:01:58,2:01:58,175,3
21TSD,2:02:25,2:02:25,170,4
21TSD,2:03:02,2:03:02,177,5
21TSD,2:03:26,2:03:26,323,6
21TSD,2:05:31,2:05:31,130,8
21TSD,2:06:11,2:06:11,136,10
21TSD,2:06:31,2:06:31,23,11
21TSD,2:06:51,2:06:51,210,12
21TSD,2:07:22,2:07:22,268,13
21TSD,2:08:56,2:08:56,307,14
21TSD,2:09:25,2:09:25,190,15
21TSD,2:09:51,2:09:51,191,16
21TSD,2:10:49,2:10:49,234,17
21TSD,2:11:19,2:11:19,233,18
21TSD,2:11:51,2:11:51,370,19
21RLV,2:00:00,2:00:00,371,1
21RSD,2:00:23,2:00:23,238,3
21RSD,2:00:38,2:00:38,237,4
21RSD,2:01:00,2:01:00,18,5
21RSD,2:01:29,2:01:29,19,6
21RSD,2:01:46,2:01:46,308,7
21RSD,2:03:06,2:03:06,319,8
21RSD,2:03:21,2:03:21,61,9
21RSD,2:03:26,2:03:26,186,10
21RSD,2:04:03,2:04:03,135,13
21RSD,2:04:08,2:04:08,131,14
21RSD,2:04:13,2:04:13,429,15
21RSD,2:05:24,2:05:24,169,16
21RSD,2:05:51,2:05:51,176,18
21RSD,2:06:06,2:06:06,171,19
21RSD,2:06:20,2:06:20,213,20
21RSD,2:06:31,2:06:31,174,21
16TLV,2:00:00,2:00:00,80,1
16TSD,2:01:36,2:01:36,337,3
16TSD,2:02:06,2:02:06,335,4
16TSD,2:02:56,2:02:56,377,5
16TSD,2:04:01,2:04:01,303,6
16TSD,2:06:07,2:06:07,363,8
16TSD,2:06:29,2:06:29,360,9
16TSD,2:08:17,2:08:17,66,11
16TSD,2:09:24,2:09:24,67,12
16TSD,2:11:10,2:11:10,68,14
16TSD,2:11:55,2:11:55,40,15
16TSD,2:12:28,2:12:28,70,16
16TSD,2:12:58,2:12:58,302,17
16TSD,2:13:29,2:13:29,72,18
16TSD,2:19:18,2:19:18,73,19
16TSD,2:19:42,2:19:42,160,20
16TSD,2:20:02,2:20:02,161,21
16TSD,2:20:22,2:20:22,366,22
16TSD,2:20:42,2:20:42,357,23
16TSD,2:21:02,2:21:02,361,24
16TSD,2:21:22,2:21:22,355,25
16TSD,2:22:42,2:22:42,359,29
16TSD,2:23:22,2:23:22,375,31
16TSD,2:23:42,2:23:42,376,32
16RLV,2:00:00,2:00:00,376,1
16RSD,2:00:10,2:00:10,356,3
16RSD,2:00:15,2:00:15,362,4
16RSD,2:00:20,2:00:20,358,5
16RSD,2:00:25,2:00:25,369,6
16RSD,2:00:30,2:00:30,155,7
16RSD,2:00:40,2:00:40,156,9
16RSD,2:00:49,2:00:49,36,10
16RSD,2:06:21,2:06:21,37,11
16RSD,2:06:35,2:06:35,301,12
16RSD,2:06:53,2:06:53,39,13
16RSD,2:07:08,2:07:08,69,14
16RSD,2:07:38,2:07:38,41,15
16RSD,2:09:23,2:09:23,42,17
16RSD,2:10:08,2:10:08,9,18
16RSD,2:10:35,2:10:35,10,19
16RSD,2:11:07,2:11:07,364,20
16RSD,2:11:50,2:11:50,365,21
16RSD,2:13:19,2:13:19,297,22
16RSD,2:13:30,2:13:30,334,23
16RSD,2:13:44,2:13:44,336,24
16RSD,2:13:59,2:13:59,390,25
16RSD,2:14:04,2:14:04,80,26
25TLV,2:00:00,2:00:00,377,1
25RLV,2:00:00,2:00:00,221,1
10TLV,2:00:00,2:00:00,4,1
10TSD,2:00:35,2:00:35,5,2
10TSD,2:02:37,2:02:37,42,3
10TSD,2:03:37,2:03:37,9,4
10TSD,2:05:06,2:05:06,146,5
10TSD,2:05:26,2:05:26,147,6
10TSD,2:06:06,2:06:06,148,8
10TSD,2:06:46,2:06:46,149,10
10TSD,2:07:06,2:07:06,162,11
10TSD,2:07:26,2:07:26,291,12
10TSD,2:07:54,2:07:54,164,13
10TSD,2:08:19,2:08:19,285,14
10TSD,2:08:46,2:08:46,166,15
10TSD,2:10:45,2:10:45,167,16
10TSD,2:11:30,2:11:30,168,17
10TSD,2:11:59,2:11:59,169,18
10TSD,2:12:56,2:12:56,176,20
10TSD,2:13:25,2:13:25,171,21
10TSD,2:13:54,2:13:54,213,22
10TSD,2:14:20,2:14:20,174,23
10TSD,2:15:24,2:15:24,173,24
10RLV,2:00:00,2:00:00,173,1
10RSD,2:00:50,2:00:50,172,2
10RSD,2:02:42,2:02:42,175,3
10RSD,2:02:54,2:02:54,170,4
10RSD,2:03:16,2:03:16,177,5
10RSD,2:04:02,2:04:02,178,6
10RSD,2:04:13,2:04:13,372,7
10RSD,2:05:58,2:05:58,180,8
10RSD,2:06:10,2:06:10,284,9
10RSD,2:06:20,2:06:20,182,10
10RSD,2:06:35,2:06:35,163,11
10RSD,2:06:40,2:06:40,184,12
10RSD,2:06:45,2:06:45,300,13
10RSD,2:06:58,2:06:58,24,15
10RSD,2:07:03,2:07:03,25,16
10RSD,2:07:08,2:07:08,26,17
10RSD,2:08:49,2:08:49,66,19
10RSD,2:09:40,2:09:40,67,20
10RSD,2:10:05,2:10:05,31,21
10RSD,2:10:25,2:10:25,32,22
10RSD,2:10:56,2:10:56,4,23
26TLV,2:00:00,2:00:00,328,1
26TSD,2:00:40,2:00:40,210,3
26TSD,2:01:11,2:01:11,268,4
26TSD,2:02:45,2:02:45,307,5
26TSD,2:03:14,2:03:14,190,6
26TSD,2:03:40,2:03:40,191,7
26TSD,2:04:38,2:04:38,234,8
26TSD,2:05:08,2:05:08,233,9
26TSD,2:05:41,2:05:41,232,10
26TSD,2:06:01,2:06:01,269,11
